web-scraper-order,web-scraper-start-url,url,url-href,nom,adresse,tel,mail,site,instagram ,facebook
"1751644328-1","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Vignobles Cassin, Château Cassin et Domaine du Tembouret","https://vins-de-fronton.com/vignerons/vignobles-cassin/","Vignobles Cassin, Château Cassin et Domaine du Tembouret","800 route de Nohic","05 61 82 93 29 / 07 50 54 04 19","","","",""
"1751644339-2","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Domaine Roumagnac","https://vins-de-fronton.com/vignerons/domaine-roumagnac/","Domaine Roumagnac","Rue de Raygades","06 80 95 34 08 / 07 50 14 98 34","","","",""
"1751644349-3","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Domaine Plaisance / Penavayre","https://vins-de-fronton.com/vignerons/domaine-plaisance/","Domaine Plaisance / Penavayre","102 place de la Mairie","0561849741","","","",""
"1751644359-4","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Domaine Le Roc","https://vins-de-fronton.com/vignerons/domaine-le-roc/","Domaine Le Roc","1605C route de Toulouse","","","","",""
"1751644370-5","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Domaine Labastidum","https://vins-de-fronton.com/vignerons/domaine-labastidum/","Domaine Labastidum","400 chemin de Loubet","06 78 73 52 52","","","",""
"1751644380-6","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Domaine des Pradelles","https://vins-de-fronton.com/vignerons/domaine-des-pradelles/","Domaine des Pradelles","44 chemin de la Bourdette","05 61 84 97 36 / 06 50 02 17 38","","","",""
"1751644390-7","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Domaine de Lescure","https://vins-de-fronton.com/vignerons/domaine-de-lescure/","Domaine de Lescure","151 chemin de Lescure","05 63 30 55 45","","","",""
"1751644400-8","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Saint-Louis","https://vins-de-fronton.com/vignerons/chateau-saint-louis/","Château Saint-Louis","Château Saint-Louis","05 63 30 13 13","","","",""
"1751644411-9","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château La Loge","https://vins-de-fronton.com/vignerons/chateau-la-loge/","Château La Loge","138 route des Châteaux","06 64 61 67 57 / 06 86 16 94 25","","","",""
"1751644421-10","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château La Colombière","https://vins-de-fronton.com/vignerons/chateau-la-colombiere/","Château La Colombière","190 route de Vacquiers","05 61 82 44 05 / 06 35 46 05 50","","","",""
"1751644431-11","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Joliet","https://vins-de-fronton.com/vignerons/chateau-joliet/","Château Joliet","Château Lafite","Ces vignes âgées de 8 à 37 ans, dont la moitié sont plantées en Négrette, permettent d’élaborer des vins d’Appellation d’Origine Protégée (AOP) Fronton, ainsi que des vins à Indication Géographique Protégée (IGP).

Les vins du Château Joliet sont souples et fruités, ils mettent en avant la typicité et l’originalité de la Négrette, cépage phare de l’appellation, qui se mêle aux autres cépages nobles (Gamay, Syrah, Cabernets franc et sauvignon) empruntés à d’autres vignobles.","","","",""
"1751644442-12","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château de Belaygues","https://vins-de-fronton.com/vignerons/chateau-de-belaygues/","Château de Belaygues","1755 chemin de Bonneval","06 58 69 28 28","","","",""
"1751644452-13","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Clos Mignon","https://vins-de-fronton.com/vignerons/chateau-clos-mignon/","Château Clos Mignon","109 route de Clos Mignon","0561821089","","","",""
"1751644462-14","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Clamens","https://vins-de-fronton.com/vignerons/chateau-clamens/","Château Clamens","740 chemin de Caillol","0561824532","","","",""
"1751644472-15","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Caze","https://vins-de-fronton.com/vignerons/chateau-caze/","Château Caze","45 rue de la Négrette","06 16 31 48 69","","","",""
"1751644483-16","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Boujac","https://vins-de-fronton.com/vignerons/chateau-boujac/","Château Boujac","427 chemin de Boujac","05 63 30 17 79","","","",""
"1751644493-17","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Bouissel","https://vins-de-fronton.com/vignerons/chateau-bouissel/","Château Bouissel","200 chemin du Vert","05 63 30 10 49","","","",""
"1751644503-18","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Château Bellevue La Forêt","https://vins-de-fronton.com/vignerons/chateau-bellevue-la-foret/","Château Bellevue La Forêt","5580 route de Grisolles","","","","",""
"1751644514-19","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Les Vignerons de Vinovalie, Cave de Fronton","https://vins-de-fronton.com/vignerons/les-vignerons-de-vinovalie-cave-de-fronton/","Les Vignerons de Vinovalie, Cave de Fronton","175 Avenue de la Dourdenne","05 62 79 97 74","","","",""
"1751644524-20","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Famille Arbeau – Château Coutinel","https://vins-de-fronton.com/vignerons/chateau-coutinel-vignobles-arbeau/","Famille Arbeau – Château Coutinel","4 rue de la fraternité","05 63 64 01 80","","","",""
"1751644534-21","https://vins-de-fronton.com/les-vignerons-domaines-et-caves/","Domaine Bois de Devès","https://vins-de-fronton.com/vignerons/domaine-bois-de-deves/","Domaine Bois de Devès","2255 route de Fronton","06 80 54 85 10","","","",""
