annee;type;zone;indicateur;valeur;source
2013;OTA;Europe;Part de marché OTAs distribution hôtelier;19,7%;[web:65][web:75]
2015;OTA;Europe;Part de marché OTAs (nuité´´es);22%;[web:69]
2016;OTA;France;Franç´´ais reservant par OTA;44%;[web:40]
2016;OTA;France;Franç´´ais reservant sur Internet;72%;[web:40]
2019;OTA;Europe;Part de marché OTAs;29,2%;[web:75]
2019;OTA;France;Part de marché OTAs distribution hôtelier;27,6%;[web:41]
2021;OTA;Europe;Part de marché OTAs;28,8%;[web:75]
2023;OTA;Europe;Part de marché OTAs;29,6%;[web:65][web:26]
2023;OTA;Europe;Booking Holdings part de marché;71%;[web:65]
2023;OTA;Europe;Expedia part de marché;14,4%;[web:65]
2023;OTA;Europe;HRS part de marché;4,6%;[web:65]
2024;OTA;Europe;Booking.com part de marché;69,3%;[web:79]
2024;OTA;Europe;Expedia part de marché;11,5%;[web:79]
2024;OTA;Mondial;Marché´´ OTA (milliards $);253,2;[web:43][web:71][web:77]
2024;OTA;Mondial;Revenus 4 grandes OTAs (milliards $);58;[web:25]
2024;OTA;Loisirs;Part OTAs revenus loisirs;18%;[web:20]
2022;Label;France;Clef Verte établissements;855;[web:66][web:70]
2023;Label;France;Clef Verte établissements;1077;[web:66][web:70]
2024;Label;France;Clef Verte établissements;1564;[web:68]
2025;Label;France;Clef Verte établissements;2428;[web:36][web:53][web:72]
2005;Label;France;Cré´´ation Qualité Tourisme;2005;[web:54]
2013;Label;France;Qualité´´ Tourisme établissements;5600;[web:54]
2021;Label;France;Qualité´´ Tourisme établissements;4000;[web:56]
2024;Label;France;Qualité´´ Tourisme établissements;5000;[web:21]
2024;Label;France;Tourisme et Handicap établissements;3500;[web:21]
2024;Label;France;Fin attribution Qualité Tourisme;31/08/2024;[web:31][web:30]
2024;Label;France;Destination Excellence premier labellisé´´;203;[web:58]
2026;Label;France;Disparition totale Qualité Tourisme;31/12/2026;[web:31][web:30]
2024;Label;Europe/France;É´é´´colabel européen produits/services;98977;[web:18]
2024;Label;Europe/France;É´é´´colabel européen licences;2983;[web:18]
2024;Label;Europe/France;Nouvelles licences Écolabel;240;[web:18]
2024;Label;Europe/France;Position France Écolabel;2e rang Europe;[web:18]
